iteration,source,type,target, scd removed, stk removed, awd removed, deginh removed, edges skipped, types generalised, DI used, time (ms)
23,com.mvnforum.user.PostWebHandler,uses,com.mvnforum.common.OnlineUserUtil,115,0,0,0,38,0,0,10915
24,com.mvnforum.user.MemberWebHandler,uses,com.mvnforum.common.OnlineUserUtil,115,0,0,0,40,0,0,10774
25,com.mvnforum.db.jdbc.MemberPermissionDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,113,0,1,0,35,0,0,11102
26,com.mvnforum.db.jdbc.MemberForumDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,110,0,2,0,34,0,0,11026
27,com.mvnforum.db.jdbc.GroupPermissionDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,109,0,1,0,34,0,0,10588
28,com.mvnforum.db.jdbc.FavoriteThreadDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,105,0,3,0,32,0,0,10048
29,com.mvnforum.db.jdbc.ForumDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,104,0,2,0,33,0,0,15505
30,com.mvnforum.db.jdbc.MemberGroupDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,102,0,2,0,31,0,0,10102
31,com.mvnforum.db.jdbc.GroupForumDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,102,0,2,0,34,0,0,10348
32,com.mvnforum.db.jdbc.PostDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,99,0,3,0,30,0,0,10070
33,com.mvnforum.db.jdbc.AttachmentDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,100,0,2,0,34,0,0,10404
34,com.mvnforum.db.jdbc.MessageDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,98,0,2,0,34,0,0,9980
35,com.mvnforum.db.jdbc.GroupsDAOImplJDBC,uses,com.mvnforum.db.DAOFactory,99,0,1,0,34,0,0,13382
36,com.mvnforum.common.SendMailUtil,uses,com.mvnforum.user.UserModuleConfig,64,0,0,0,68,0,0,141175
37,com.mvnforum.admin.ImportWebHandler,uses,com.mvnforum.user.UserModuleConfig,64,0,0,0,67,0,0,12429
38,com.mvnforum.categorytree.impl.ListForums,uses,com.mvnforum.user.WatchUtil,64,0,0,0,66,0,0,10754
39,com.mvnforum.admin.AdminModuleProcessor,uses,com.mvnforum.user.UserModuleConfig,64,0,0,0,65,0,0,10260
40,com.mvnforum.service.impl.MvnForumLifeCycleServiceImplDefault,uses,com.mvnforum.MVNForumConfig,57,0,0,0,72,0,0,25089
41,com.mvnforum.admin.ForumWebHandler,uses,com.mvnforum.common.AttachmentUtil,49,0,0,0,79,0,0,29986
42,com.mvnforum.common.SendMailUtil,uses,com.mvnforum.MVNForumConfig,46,0,2,0,79,0,0,12626
43,com.mvnforum.user.ThreadWebHandler,uses,com.mvnforum.common.ThreadChecker,40,0,0,0,89,0,0,83446
44,com.mvnforum.user.AttachmentWebHandler,uses,com.mvnforum.common.PostChecker,40,0,0,0,90,0,0,32583
45,com.mvnforum.service.impl.WatchMailServiceImplDefault,uses,com.mvnforum.MVNForumConfig,40,0,0,0,90,0,0,18830
46,com.mvnforum.common.AttachmentUtil,uses,com.mvnforum.MVNForumConfig,58,0,0,0,72,0,0,9599
47,com.mvnforum.user.PostWebHandler,uses,com.mvnforum.common.PostChecker,39,0,0,0,90,0,0,19485
48,com.mvnforum.admin.GeneralAdminTasksWebHandler,uses,com.mvnforum.MVNForumContextListener,36,0,0,0,103,0,0,43187
49,com.mvnforum.service.impl.SearchServiceImplDisk,uses,com.mvnforum.MVNForumConfig,40,0,0,0,87,0,0,13174
50,com.mvnforum.admin.GeneralAdminTasksWebHandler,uses,com.mvnforum.search.post.RebuildPostIndexTask,35,0,0,0,116,0,0,56149
51,com.mvnforum.admin.AdminModuleProcessor,uses,com.mvnforum.MVNForumConfig,36,0,0,0,104,0,0,17061
